"id","MOSTYPE","MAANTHUI","MGEMOMV","MGEMLEEF","MOSHOOFD","MGODRK","MGODPR","MGODOV","MGODGE","MRELGE","MRELSA","MRELOV","MFALLEEN","MFGEKIND","MFWEKIND","MOPLHOOG","MOPLMIDD","MOPLLAAG","MBERHOOG","MBERZELF","MBERBOER","MBERMIDD","MBERARBG","MBERARBO","MSKA","MSKB1","MSKB2","MSKC","MSKD","MHHUUR","MHKOOP","MAUT1","MAUT2","MAUT0","MZFONDS","MZPART","MINKM30","MINK3045","MINK4575","MINK7512","MINK123M","MINKGEM","MKOOPKLA","PWAPART","PWABEDR","PWALAND","PPERSAUT","PBESAUT","PMOTSCO","PVRAAUT","PAANHANG","PTRACTOR","PWERKT","PBROM","PLEVEN","PPERSONG","PGEZONG","PWAOREG","PBRAND","PZEILPL","PPLEZIER","PFIETS","PINBOED","PBYSTAND","AWAPART","AWABEDR","AWALAND","APERSAUT","ABESAUT","AMOTSCO","AVRAAUT","AAANHANG","ATRACTOR","AWERKT","ABROM","ALEVEN","APERSONG","AGEZONG","AWAOREG","ABRAND","AZEILPL","APLEZIER","AFIETS","AINBOED","ABYSTAND","CARAVAN"
"0","37","1","2","2","8","1","4","1","4","6","2","2","0","4","5","0","5","4","0","0","0","5","0","4","0","2","3","5","0","2","7","7","1","2","6","3","2","0","5","2","0","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"1","22","1","2","3","5","0","2","0","7","4","0","5","4","4","1","2","5","3","3","0","0","2","3","3","2","3","0","4","0","6","3","4","0","5","7","2","3","3","3","1","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2","11","1","2","3","3","0","8","0","1","4","0","5","4","2","4","3","3","4","5","0","0","4","1","1","3","2","1","3","2","4","5","3","2","5","7","2","5","0","3","1","1","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","32","1","3","3","7","0","7","0","2","7","0","2","0","4","5","0","0","9","0","0","0","2","7","0","0","0","0","9","0","9","0","7","0","2","9","0","3","4","2","2","0","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"4","34","1","4","2","8","1","4","1","4","7","1","2","0","0","9","0","3","6","3","0","0","3","5","0","0","0","5","4","0","0","9","6","2","1","5","4","0","6","0","3","0","5","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"5","30","1","1","5","7","1","3","0","5","6","1","2","5","3","1","0","3","6","3","0","0","0","3","4","0","1","3","2","5","6","3","7","2","0","4","5","6","1","3","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","34","1","3","3","8","3","2","1","4","8","0","1","1","5","4","3","4","3","3","1","0","4","1","3","3","2","2","3","0","2","7","7","2","0","3","6","0","3","4","2","1","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","41","1","2","4","10","0","7","0","2","9","0","0","0","6","3","1","4","5","3","1","3","1","2","1","2","1","5","2","0","2","7","6","3","0","5","4","5","2","0","1","1","4","4","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"8","8","1","3","3","2","3","4","2","2","8","1","0","0","5","4","4","3","2","5","0","0","2","1","2","4","2","2","1","2","0","9","9","0","0","4","5","2","2","5","0","0","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"9","24","1","3","2","5","1","3","2","5","6","1","2","1","2","7","1","2","7","0","0","0","2","4","3","0","1","1","5","3","8","1","3","2","5","8","1","3","5","1","1","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","25","1","2","4","6","2","7","1","1","5","0","4","3","2","4","3","2","4","4","3","0","3","1","1","3","2","3","1","3","6","3","3","4","3","3","6","5","2","0","0","3","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"11","22","1","2","3","5","0","7","0","2","6","0","3","3","2","4","2","3","4","0","2","0","3","4","0","3","2","0","5","0","0","9","7","2","0","7","2","4","2","4","0","0","3","2","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","33","1","2","4","8","2","5","0","3","9","0","0","0","6","3","0","5","4","2","0","0","7","0","0","2","3","2","4","0","3","6","7","0","2","6","3","2","4","4","0","0","4","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","29","1","3","3","7","0","6","2","2","7","0","2","2","3","5","1","4","5","1","1","2","3","2","1","2","2","0","5","0","4","5","6","1","2","8","1","3","5","1","0","1","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"14","11","1","2","2","3","3","3","0","4","5","2","2","1","5","3","4","4","2","3","0","0","5","2","1","4","3","2","2","0","4","5","6","1","3","6","3","1","2","4","3","1","7","7","2","0","0","6","0","5","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"15","11","1","2","3","3","1","5","1","3","5","1","4","3","3","4","2","2","6","1","1","1","2","4","2","1","1","2","5","1","4","5","6","1","2","7","2","3","5","2","0","0","3","6","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"16","34","1","3","3","8","1","4","1","4","7","1","2","0","3","6","0","6","3","0","0","0","9","0","0","0","0","0","9","0","9","0","6","2","1","5","4","5","4","0","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","3","1","2","4","1","0","4","0","5","5","2","2","3","4","3","2","1","7","4","0","2","2","3","0","0","0","3","5","1","1","8","6","2","2","6","3","0","6","3","0","0","3","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","40","1","3","4","10","0","7","0","2","6","0","3","2","2","5","0","5","5","3","0","5","1","0","1","3","1","5","1","0","0","9","3","3","3","2","7","2","5","3","0","0","3","3","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","6","2","3","4","2","0","4","3","4","9","0","0","0","4","5","3","4","2","5","0","0","2","2","0","4","0","2","3","0","2","7","8","1","0","6","3","3","0","6","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
